model,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
ST-LOS,42,31,1.6345538996099456,1.128013677228757,1.6345538996099456,0.7401622713096743,73.8,0.0,0.015625,0.02696308666457925,0.4711483115007205
ST-LOS,42,32,1.654616736784214,1.1029160347411302,1.654616736784214,0.7388921709564643,73.8,0.031746031746031744,0.016129032258064516,0.02696308666457925,0.4530223822816872
ST-LOS,42,33,1.6566947107392598,1.0788578686675405,1.6566947107392598,0.7358411177387082,73.8,0.06349206349206349,0.016666666666666666,0.02696308666457925,0.49437829350642953
ST-LOS,42,34,1.6190720748126022,1.0647918165214663,1.6190720748126022,0.734651992960674,73.6,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.49727620283836665
ST-LOS,42,35,1.6117454059724885,1.0664650318099231,1.6117454059724885,0.7374332639260021,73.8,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.5235471043468628
ST-LOS,42,36,1.6483157340104018,1.0832235284937106,1.6483157340104018,0.7395928536004167,73.8,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.5234705045518744
ST-LOS,42,37,1.616691092165505,1.095632048641763,1.616691092165505,0.7417845885928084,73.8,0.031746031746031744,0.016129032258064516,0.02696308666457925,0.507806369189348
ST-LOS,42,38,1.5915473476658022,1.1213757046839086,1.5915473476658022,0.7467857860937351,73.7,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.4748434414214376
ST-LOS,42,39,1.6081619146393566,1.125802993774414,1.6081619146393566,0.7480176270492678,73.8,0.031746031746031744,0.016129032258064516,0.02832665469117035,0.4922226808103308
ST-LOS,42,40,1.5991206353272849,1.1473703704229214,1.5991206353272849,0.7516621230094414,73.8,0.07936507936507942,0.01694915254237288,0.02696308666457925,0.4734606841060133
ST-LOS,42,41,1.6275392751383588,1.115640236110222,1.6275392751383588,0.7493053073805522,74.2,0.07936507936507942,0.01694915254237288,0.02696308666457925,0.559469588409854
ST-LOS,42,42,1.6206807237330492,1.1857262374908943,1.6206807237330492,0.7692289793394446,74.1,0.06349206349206349,0.016666666666666666,0.02696308666457925,0.5417325072043845
ST-LOS,42,43,1.6164328683682574,1.1945242203348052,1.6164328683682574,0.7687854587547178,73.8,0.031746031746031744,0.016129032258064516,0.02696308666457925,0.5740007313865656
ST-LOS,42,44,1.6036775703352641,1.2276488513481327,1.6036775703352641,0.7779515346860498,73.7,0.06349206349206349,0.016666666666666666,0.02696308666457925,0.5156162274740722
ST-LOS,42,45,1.5816716721387414,1.233745064192671,1.5816716721387414,0.7789028277242087,73.6,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.5179702975019588
ST-LOS,42,46,1.5781991307328387,1.2208859852659024,1.5781991307328387,0.7767201453689637,73.6,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.5192372216297234
ST-LOS,42,47,1.6164726232125508,1.2216284653035605,1.6164726232125508,0.7749959739243112,73.9,0.031746031746031744,0.016129032258064516,0.02696308666457925,0.4871707715170571
ST-LOS,42,48,1.5963418086369832,1.1897881505935173,1.5963418086369832,0.781690163340995,73.8,0.2698412698412699,0.02127659574468085,0.02696308666457925,0.5130096499877377
