model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL-FedProx-01,7,3,2.0677820444107056,0.6900325417518616,0.6843445152044296,0.6934050619602203,1.0,0.6119257086999023,0.631052596098689,0.5088235294117647,0.45929323500999014,0.4953914904165388
VFL-MTL-FedProx-1,42,1,2.090377151966095,0.7016605287790298,0.6949212551116943,0.6937953382730484,1.0,0.5865865865865867,0.5430126047441118,0.3521825396825397,0.5028192383717671,0.4994254821300379
VFL-MTL-FedProx-1,42,2,2.0797820687294006,0.6945762187242508,0.6925668716430664,0.6926390081644058,1.0,0.5635635635635635,0.5370385066333805,0.3551587301587301,0.5126911874719399,0.4925629233490988
VFL-MTL-FedProx-1,42,3,2.079126477241516,0.6937403082847595,0.6933281868696213,0.6920579820871353,1.7,0.48948948948948945,0.4691606937959458,0.36607142857142855,0.5155566719948423,0.4877311936023326
VFL-MTL-FedProx-1,123,1,2.0893276929855347,0.6964688003063202,0.6982145011425018,0.6946444511413574,1.4,0.5470588235294117,0.5561235841005032,0.5357142857142858,0.37169545640785295,0.4924732159497654
VFL-MTL-FedProx-1,123,2,2.0796149373054504,0.6936081796884537,0.6928606033325195,0.6931461244821548,1.1,0.5710784313725491,0.5133475930766429,0.5768398268398268,0.4431385614283369,0.4837016499642738
VFL-MTL-FedProx-1,123,3,2.079457461833954,0.6930413693189621,0.6937915682792664,0.692624568939209,1.2,0.5696078431372549,0.5086050813463121,0.6244588744588744,0.4488855240459121,0.48235122539057185
VFL-MTL-FedProx-1,7,1,2.0962641835212708,0.6966744959354401,0.7054770886898041,0.694112554192543,1.2,0.5210166177908113,0.5468773285415378,0.5284313725490196,0.5362342492847835,0.499279318533945
VFL-MTL-FedProx-1,7,2,2.0699349641799927,0.6902975142002106,0.6859298348426819,0.6937075853347778,1.1,0.555229716520039,0.5797496062527135,0.5225490196078432,0.5295853945490684,0.48963655635008857
VFL-MTL-FedProx-1,7,3,2.0676069855690002,0.6903374642133713,0.6837562620639801,0.6935132890939713,1.1,0.5747800586510264,0.5968134097091427,0.5078431372549019,0.47809357646554124,0.49598846810939107
