round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
11,42,5.0,uniform,0.6845350553628491,0.29804626234171855,0.5162346682335059,0.10815548231466127,0.5383452555770513,1.7800839008991822,1.7800839008991822,1.7800839008991822,0.7578078749138195,0.37415256074682596,1.3492101821316382,0.4488619049303396,6.2,0.030816102400422096,-0.034929703921079636,-0.00035754439886659384,1.1630393266677856,0.6117963194847107,0.6701174974441528
12,42,5.0,uniform,0.6864835011045913,0.2986800478409248,0.5427139315636139,0.11863563799428765,0.5447325209015175,1.8298100598635774,1.8298100598635774,1.8298100598635774,0.7617380371780895,0.3750628061820326,1.3567718217987161,0.4487976930287207,6.1,,,,1.1623626947402954,0.6131585836410522,0.6695907711982727
13,42,5.0,uniform,0.6387374171556524,0.2807323646798295,0.4979387336064658,0.10703312558826002,0.5398981036894852,1.8794897942580555,1.8794897942580555,1.8794897942580555,0.7540507687491621,0.37318543783962466,1.3458436285043909,0.4478152857597218,6.1,,,,1.1593040227890015,0.6117432713508606,0.668501615524292
14,42,5.0,uniform,0.7283380149344743,0.3319110523325831,0.47014809398054863,0.09727616975685145,0.5434301477963581,1.9287468716612552,1.9287468716612552,1.9287468716612552,0.7537534606508813,0.36999888614015286,1.3548540225716137,0.448373051840145,6.1,,,,1.1621887683868408,0.6091148257255554,0.6697156429290771
15,42,5.0,uniform,0.7548665327162283,0.37205750615076094,0.5192470017701452,0.11295571175201172,0.5444640003219522,1.9769574244166497,1.9769574244166497,1.9769574244166497,0.7389140217585335,0.3610735792650406,1.3490590416708368,0.44789253780414967,6.1,,,,1.161576509475708,0.6041843891143799,0.6691231727600098
16,42,5.0,uniform,0.7562043710493784,0.3645311413846647,0.5282962433113955,0.11481802065990979,0.5433449542633885,2.025167977172044,2.025167977172044,2.025167977172044,0.73798034714299,0.3603109751856483,1.3530033803402597,0.44675341521808676,6.1,0.014260786585509777,-0.393787145614624,-0.013515464030206203,1.1603538990020752,0.6018228530883789,0.668293297290802
17,42,5.0,uniform,0.7579245679098734,0.38313432824928895,0.5321782151870573,0.12100085729866586,0.5466871475167785,2.072754644682877,2.072754644682877,2.072754644682877,0.7322331042268911,0.35466521093418507,1.3544577654272187,0.4481465703275006,6.1,,,,1.163285255432129,0.5975570678710938,0.6685926914215088
18,42,5.0,uniform,0.7599963013684936,0.3871666144994981,0.5171644468003802,0.11241028635899067,0.54877874270519,2.119706416059215,2.119706416059215,2.119706416059215,0.7260222844942168,0.35027337451689106,1.3571186323353297,0.4473461481421275,6.1,,,,1.1659317016601562,0.5931714773178101,0.6673004627227783
19,42,5.0,uniform,0.7573547787318692,0.3734987493554106,0.5036174613159959,0.10299656252139361,0.5426729508264578,2.166658187435553,2.166658187435553,2.166658187435553,0.7181871524283979,0.34674019669080924,1.35135176816882,0.44676740721323605,6.2,,,,1.1633588075637817,0.5901835560798645,0.667693555355072
20,42,5.0,uniform,0.763085158491358,0.3826411160718649,0.46305686923811373,0.09739268261364076,0.5434835397854952,2.2128333741638855,2.2128333741638855,2.2128333741638855,0.7209300419649183,0.3487444032618052,1.346266988323245,0.4483407807402215,6.1,,,,1.1632540225982666,0.5901148915290833,0.6703299880027771
21,42,5.0,uniform,0.7570065742341999,0.3732567618912974,0.5079715073695729,0.11097583972890004,0.5459294236581449,2.258674599923878,2.258674599923878,2.258674599923878,0.7192336867469887,0.3475156903397048,1.3489070014141533,0.4475172172467261,6.1,-0.009518817067146301,-0.27170249819755554,0.0006530160317197442,1.1606998443603516,0.5888331532478333,0.6689574718475342
22,42,5.0,uniform,0.7574863966998877,0.4001041157655803,0.47185437336543645,0.09501324758464161,0.551666915216145,2.3045158256838714,2.3045158256838714,2.3045158256838714,0.7217381882875767,0.3494053121867659,1.3484447634896857,0.4474670482254445,6.1,,,,1.1637283563613892,0.5913483500480652,0.6689395308494568
23,42,5.0,uniform,0.7641897497925768,0.41104714718722535,0.49460494256874343,0.09938388370781873,0.5516391721219687,2.3493805731156803,2.3493805731156803,2.3493805731156803,0.7176419224541261,0.34818938192321747,1.3456061776548494,0.44628644731367517,6.1,,,,1.1627963781356812,0.5915703773498535,0.6674594283103943
24,42,5.0,uniform,0.7626328258544337,0.4034289177585126,0.5158195409970079,0.10809318364968927,0.534656792351925,2.394217407660753,2.394217407660753,2.394217407660753,0.7182731978497651,0.3465705366894668,1.3514249379457866,0.44703365009945034,6.1,,,,1.1659319400787354,0.5895857810974121,0.66880202293396
25,42,5.0,uniform,0.7666355115274015,0.40410032995668377,0.5381597728934687,0.11784922499707348,0.552066800844766,2.4387255256007823,2.4387255256007823,2.4387255256007823,0.7143470918247273,0.3458150524369494,1.3426555681436863,0.4473951440711209,6.1,,,,1.1610445976257324,0.589194655418396,0.666641354560852
26,42,5.0,uniform,0.7673260893469416,0.3996160925369449,0.5080997710413626,0.11076094429675268,0.5433365815624338,2.4826352928638427,2.4826352928638427,2.4826352928638427,0.71669680309608,0.34327902739224997,1.3602845163845079,0.4469730749921507,6.1,0.256499707698822,-0.11668363958597183,-0.014723172411322594,1.1627793312072754,0.5871233940124512,0.6683489084243774
27,42,5.0,uniform,0.7688484427428519,0.4081017925835947,0.5328030348994275,0.12326497888753435,0.5586733470418629,2.526545060126903,2.526545060126903,2.526545060126903,0.7102165724512791,0.3425423866015855,1.3468860601233603,0.4465539804192089,6.1,,,,1.1612250804901123,0.5887274146080017,0.6673710346221924
28,42,5.0,uniform,0.7717994342093425,0.4183884469359156,0.5023204548091426,0.10820415429848465,0.556461643182248,2.5697090308169503,2.5697090308169503,2.5697090308169503,0.7123497003551134,0.34197373434445744,1.3541284807384275,0.4468046252383936,6.1,,,,1.161173701286316,0.5867043137550354,0.6663177609443665
29,42,5.0,uniform,0.7672377886848532,0.42362944148385556,0.5192326319811895,0.11234761524970589,0.5569865420428857,2.6127490618844056,2.6127490618844056,2.6127490618844056,0.7130556378562377,0.34252027113104494,1.3569163352120912,0.4458088319114202,6.1,,,,1.163674235343933,0.5860248804092407,0.6670123338699341
30,42,5.0,uniform,0.7676018206596892,0.4232152593797727,0.503779254495349,0.11073883560131557,0.5596160600713812,2.655399295958501,2.655399295958501,2.655399295958501,0.7111287571196994,0.3421185388835757,1.351698308532415,0.44630632468186093,6.1,,,,1.1648038625717163,0.5841425061225891,0.6686974167823792
31,42,5.0,uniform,0.772476683627058,0.41785183376428103,0.5061412220281413,0.11050070596750167,0.5590889257360886,2.6976128870693312,2.6976128870693312,2.6976128870693312,0.7095281986690505,0.3422544585565292,1.345485644048999,0.4468006489058249,6.1,-0.027733976021409035,0.0709138736128807,-0.02092406153678894,1.158498764038086,0.5848167538642883,0.6684486269950867
32,42,5.0,uniform,0.7641364361852782,0.42495554282416703,0.4592733570275187,0.09529113186984428,0.5560368365715307,2.7396869286196814,2.7396869286196814,2.7396869286196814,0.7082209108177752,0.34106727783856955,1.3478152606164524,0.44638598524847406,6.1,,,,1.1591317653656006,0.5840908288955688,0.6675838232040405
33,42,5.0,uniform,0.7714978791180596,0.4258225965765907,0.5639295944206899,0.12345247967453551,0.5571315662965399,2.7811074012741486,2.7811074012741486,2.7811074012741486,0.708565375820518,0.3410061302403696,1.3491542818244369,0.446362762081571,6.1,,,,1.161855936050415,0.5835269689559937,0.6695263981819153
34,42,5.0,uniform,0.7718210928623077,0.4071758593118803,0.4759188947822764,0.10428479085944184,0.5589086908510822,2.8225278739286153,2.8225278739286153,2.8225278739286153,0.7073953220677688,0.3392291809533881,1.3535799186302584,0.4461650800236448,6.1,,,,1.1631227731704712,0.5821183323860168,0.6681901216506958
35,42,5.0,uniform,0.7735987684556713,0.43029237843170737,0.5189755724232041,0.1168236952904011,0.5576890311150566,2.8632242896935765,2.8632242896935765,2.8632242896935765,0.7105745224192673,0.33986146995334127,1.3589053505372792,0.44641911007431395,6.1,,,,1.1642670631408691,0.5826165676116943,0.6673557162284851
36,42,5.0,uniform,0.7771182995624952,0.4231654285502394,0.5075239150543231,0.10665496068148735,0.5636476948564897,2.9038777873183865,2.9038777873183865,2.9038777873183865,0.7043787166801603,0.3388855419564976,1.3467566417814862,0.4461806257739338,6.1,-4.5012162445345894e-05,-0.2329263836145401,-8.176881965482607e-05,1.1596808433532715,0.582257091999054,0.6677887439727783
37,42,5.0,uniform,0.7698193335132668,0.42702814360894076,0.5480089326865863,0.11896213136588976,0.5646506945467621,2.9439728282739113,2.9439728282739113,2.9439728282739113,0.7015740336549334,0.3388826966155564,1.3447121597793945,0.44438299783973195,6.1,,,,1.1612213850021362,0.5812205672264099,0.667726457118988
38,42,5.0,uniform,0.7659249411051244,0.4292072909665028,0.463038241733912,0.09856403440950284,0.5626042823361148,2.983880263416051,2.983880263416051,2.983880263416051,0.7023957801177512,0.33934385456372557,1.3443728099743872,0.4446093781025649,6.1,,,,1.163373351097107,0.582008421421051,0.6656597852706909
39,42,5.0,uniform,0.7720976572001693,0.41559893677117044,0.3777647207843563,0.0831521450959197,0.5661392953559904,3.0233771176369246,3.0233771176369246,3.0233771176369246,0.7025294929872954,0.33743561446406434,1.3525805353597782,0.44453643281907496,6.1,,,,1.1628727912902832,0.5803212523460388,0.6653809547424316
40,42,5.0,uniform,0.7727490828393495,0.4235010163193786,0.5833277450820727,0.1298865690136278,0.5616478510928831,3.0625555422981012,3.0625555422981012,3.0625555422981012,0.7030401108827132,0.3391976633056282,1.3471848300971319,0.4444270458023621,6.1,,,,1.1646441221237183,0.5815954208374023,0.6676779985427856
41,42,5.0,uniform,0.7734000919659727,0.41979260584537664,0.3881774956331808,0.08251025519892365,0.5677601481286377,3.101473854699051,3.101473854699051,3.101473854699051,0.7047339180671492,0.33903644246956144,1.3502895902337986,0.4451163403331973,6.1,-1.8227752661914565e-05,-0.1791372150182724,-6.243983079912141e-06,1.1626564264297485,0.5820923447608948,0.6672371625900269
42,42,5.0,uniform,0.7754147632042809,0.4230083176741832,0.47085966464105866,0.0984513671243074,0.5665943992332041,3.1399374350887936,3.1399374350887936,3.1399374350887936,0.702338724938022,0.3380129048397447,1.3491648911909244,0.44470381463458963,6.1,,,,1.1608268022537231,0.581360399723053,0.6667412519454956
43,42,5.0,uniform,0.766827107303631,0.4194724254805001,0.5120179334966167,0.10984949967090338,0.5690230910578705,3.1783106175939406,3.1783106175939406,3.1783106175939406,0.703096002600599,0.33682392212240975,1.3576277122226865,0.44416602561046986,6.1,,,,1.1643871068954468,0.5827101469039917,0.6663799285888672
44,42,5.0,uniform,0.7818232254065995,0.4275055044002533,0.5095170580039192,0.10878758136695824,0.5698995192817179,3.216071334910466,3.216071334910466,3.216071334910466,0.7014206805343711,0.3388484199104351,1.3455232217842834,0.44400505832189036,6.2,,,,1.1617811918258667,0.5820407867431641,0.6681506633758545
45,42,5.0,uniform,0.7707685656307166,0.42605142182640454,0.4710581806144096,0.10023447721836456,0.5666155318569004,3.2538320522269917,3.2538320522269917,3.2538320522269917,0.706367180076749,0.3389632453304191,1.356647253036499,0.44460774548189086,6.1,,,,1.1637121438980103,0.5828996896743774,0.665223240852356
46,42,5.0,uniform,0.7738486759898838,0.43202862384436025,0.449397054299707,0.09019231469493379,0.5681570588094675,3.291012766567848,3.291012766567848,3.291012766567848,0.7060142622764454,0.3397085578811221,1.354171239392726,0.4441163694754438,6.1,0.0011619653087109327,-0.1577153354883194,-0.00042367790592834353,1.1613088846206665,0.5826863050460815,0.6673293113708496
