n_sites,seed,convergence_round,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
2,123,50,2,2.3395170196285093,0.39864156231647585,1.9408754594926911,0.7448936182308973,51.5,0.5396825396825398,0.03333333333333333,0.032748376399060364,nan
2,123,50,3,2.3528588816402403,0.3934796835348858,1.9593792058588044,0.7528676977002524,51.5,0.6507936507936508,0.043478260869565216,0.008447504791651905,nan
2,123,50,4,2.4450269249396595,0.38949722802735925,2.055529698123777,0.752411077662212,51.7,0.5396825396825398,0.03333333333333333,0.008447504791651905,nan
2,123,50,5,2.3528079346912665,0.38995780656492807,1.9628501374547074,0.7663982350651811,51.6,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,123,50,6,2.2529919234717766,0.38941235925123946,1.8635795562247919,0.7874084900065166,51.5,0.5714285714285714,0.03571428571428571,0.0,nan
2,123,50,7,2.452161883920189,0.38709927998422605,2.065062600422681,0.7425427562822171,51.7,0.46031746031746035,0.02857142857142857,0.010647705967667731,nan
2,123,50,8,2.447184578190005,0.38392309868723395,2.0632614827737576,0.7424607669434896,51.5,0.39682539682539686,0.02564102564102564,0.010647705967667731,nan
2,123,50,9,2.442243389967011,0.3821038156747818,2.0601395688405852,0.7432352352917679,51.6,0.2857142857142857,0.021739130434782608,0.010647705967667731,nan
2,123,50,10,2.4433070450294307,0.3832465871805098,2.060060460393022,0.73995267424157,51.7,0.4285714285714286,0.02702702702702703,0.008447504791651905,nan
2,123,50,11,2.4411657341127473,0.3834205842841931,2.0577451378349365,0.7402973994006955,51.6,0.46031746031746035,0.02857142857142857,0.008447504791651905,nan
2,123,50,12,2.2972278255757277,0.3845113607926097,1.9127164594526214,0.7381347936343371,51.5,0.4285714285714286,0.02702702702702703,0.02696308666457925,nan
2,123,50,13,2.201078826819009,0.3834450139505107,1.8176338120204647,0.7533702840649985,51.5,0.2857142857142857,0.021739130434782608,0.0,nan
2,123,50,14,2.177257471937474,0.3834316547566313,1.7938258202095343,0.7450888055126842,51.7,0.46031746031746035,0.02857142857142857,0.02696308666457925,nan
2,123,50,15,2.0539975922282148,0.37742135498097273,1.6765762257382153,0.7502850832008734,51.5,0.3015873015873016,0.022222222222222223,0.02696308666457925,nan
2,123,50,16,2.072286216224112,0.37741305503418776,1.6948731604630385,0.7530123247363703,51.8,0.2857142857142857,0.021739130434782608,0.02696308666457925,nan
2,123,50,17,2.047415773073832,0.37390861181708857,1.6735071738560994,0.751045344806299,51.5,0.3015873015873016,0.022222222222222223,0.02696308666457925,nan
2,123,50,18,2.096397517173271,0.37379371962411617,1.7226038027585038,0.7538577977234755,51.7,0.3650793650793651,0.024390243902439025,0.008447504791651905,nan
2,123,50,19,2.056472902375508,0.3725880007675993,1.6838849026982377,0.7511870056633058,51.6,0.3492063492063492,0.023809523809523808,0.008447504791651905,nan
2,123,50,20,2.0550837012810437,0.37082785452769057,1.6842558577777893,0.7495420618755061,51.6,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,123,50,21,2.0495148790561086,0.3678819223390362,1.681632951023133,0.7511791572338198,51.7,0.4285714285714286,0.02702702702702703,0.02696308666457925,nan
2,123,50,22,1.9781030135426094,0.36979081390834434,1.6083121978170503,0.7570061465589012,51.4,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,123,50,23,1.9774831688501002,0.3710266315355534,1.6064565404643858,0.7568982156311593,51.4,0.47619047619047616,0.029411764705882353,0.02696308666457925,nan
2,123,50,24,2.0332681037546174,0.36348110292016006,1.6697869930810076,0.7563711850623774,51.4,0.6507936507936508,0.043478260869565216,0.008447504791651905,nan
2,123,50,25,2.042289318107977,0.3651554200465117,1.6771339032708146,0.7505134809307936,51.4,0.6666666666666667,0.045454545454545456,0.02696308666457925,nan
2,123,50,26,1.9639921682636912,0.3671095953966544,1.5968825739573658,0.7576636143816196,51.5,0.4126984126984127,0.02631578947368421,0.02696308666457925,nan
2,123,50,27,2.0037530883540953,0.3615071923752141,1.642245893555928,0.7568546843722583,51.5,0.6984126984126984,0.05,0.02696308666457925,nan
2,123,50,28,1.945992727589801,0.36088426362692827,1.5851084682030407,0.7644195866778614,51.3,0.6507936507936508,0.043478260869565216,0.02696308666457925,nan
2,123,50,29,1.9780137383840917,0.36197372883315976,1.616040012700771,0.7644683331008849,51.6,0.6984126984126984,0.05,0.02696308666457925,nan
2,123,50,30,1.9446346953632385,0.35869113967670657,1.585943557382599,0.7722621283880095,51.3,0.6984126984126984,0.05,0.02696308666457925,nan
2,123,50,31,1.943692518443596,0.36073238675187275,1.5829601258766361,0.7683229078122271,51.2,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,123,50,32,1.9991768850543634,0.35691925338128716,1.6422576225870025,0.7621660799514957,51.3,0.6507936507936508,0.043478260869565216,0.02696308666457925,nan
2,123,50,33,1.9328214123966247,0.36356507060004445,1.569256350276916,0.7686159693128695,51.5,0.46031746031746035,0.02857142857142857,0.02696308666457925,nan
2,123,50,34,1.9833510174014704,0.3598985594462573,1.6234524579552132,0.7710829944145389,51.4,0.5873015873015873,0.037037037037037035,0.02696308666457925,nan
2,123,50,35,1.937672204118434,0.3604299336429534,1.5772422726561384,0.7820059463260619,51.3,0.5873015873015873,0.037037037037037035,0.02696308666457925,nan
