model,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
VFL-MTL,7,9,2.4976084620002807,0.38233920943930866,1.6624789296126947,0.45279033058057955,76.0,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6410027099698434
VFL-MTL,7,10,2.481033075146559,0.3795124018579964,1.6496665177306509,0.4518541555579116,76.0,0.5396825396825398,0.03333333333333333,0.02696308666457925,0.65248732222427
ST-IHM,42,1,0.4171491394924924,0.4171491394924924,2.345247299690557,0.739023459636099,75.9,0.15873015873015872,0.018518518518518517,0.0,0.5346715391656771
ST-IHM,42,2,0.397210075966711,0.397210075966711,2.354348727358066,0.7491997218713528,77.4,0.46031746031746035,0.02857142857142857,0.001814882032667886,0.5372709633258443
ST-IHM,42,3,0.38987180832924884,0.38987180832924884,2.3333559171940252,0.7408804878955935,76.0,0.25396825396825395,0.020833333333333332,0.0021141649048626032,0.5124797327712632
ST-IHM,42,4,0.38537226011598014,0.38537226011598014,2.332109724603048,0.744595908052553,76.0,0.4444444444444444,0.027777777777777776,0.1160814135540148,0.5173179251696802
ST-IHM,42,5,0.3833493069420016,0.3833493069420016,2.3399270840776647,0.7462025575521516,76.0,0.4126984126984127,0.02631578947368421,-0.009341870473391412,0.4966631094137423
ST-IHM,42,6,0.38129600809841624,0.38129600809841624,2.338695867274835,0.7484721061660022,76.0,0.8095238095238095,0.07692307692307693,-0.004747050047470447,0.4911414136350095
ST-IHM,42,7,0.38095400924605083,0.38095400924605083,2.337477273088161,0.7494891562112947,76.0,0.19047619047619047,0.019230769230769232,0.012613590126135943,0.4885709981170431
ST-IHM,42,8,0.3787364590216458,0.3787364590216458,2.3375830475876973,0.750945710069765,76.3,0.746031746031746,0.058823529411764705,-0.06321553011448477,0.44547573469543056
ST-IHM,42,9,0.37811039267032126,0.37811039267032126,2.3472811032116896,0.7548945119710473,76.2,0.4444444444444444,0.027777777777777776,-0.08312593330014928,0.4826561855252954
ST-IHM,42,10,0.3750502962649353,0.3750502962649353,2.344189174776155,0.7570402316930818,76.2,0.5079365079365079,0.03125,0.0045085662759242195,0.4608937567945788
ST-IHM,123,1,0.40842312622845656,0.40842312622845656,2.4577266917965277,0.691635199194032,76.2,0.4920634920634921,0.030303030303030304,0.09161793372319693,0.44131205267427254
ST-IHM,123,2,0.39608061216711027,0.39608061216711027,2.50384925632942,0.6928957080453392,76.3,0.015873015873015928,0.015873015873015872,0.031404958677686,0.5123837503851091
ST-IHM,123,3,0.3923950314037199,0.3923950314037199,2.5006071028670642,0.6930681428289026,76.3,0.12698412698412698,0.017857142857142856,0.044060174527544294,0.5325688509612218
ST-IHM,123,4,0.39205806514596553,0.39205806514596553,2.520109701931961,0.6934456175904933,80.1,0.23809523809523814,0.02040816326530612,0.015227281272323978,0.5172187223100437
ST-IHM,123,5,0.3893047643870842,0.3893047643870842,2.5108696852273087,0.694724512294056,76.3,0.19047619047619047,0.019230769230769232,0.06558195031999137,0.5044798787671063
ST-IHM,123,6,0.3880953688204773,0.3880953688204773,2.556250025586384,0.6960978440152921,76.2,0.3015873015873016,0.022222222222222223,-0.0029760368822142613,0.5046133321271206
