task_config,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
all_tasks,7,13,2.4354539053226874,0.3764803487110913,1.6088831037040647,0.4500904521806453,75.1,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6344298821887654
all_tasks,7,14,2.466234866196547,0.37511670965004745,1.6430659827178087,0.44805216595409364,75.0,0.8095238095238095,0.07692307692307693,0.02696308666457925,0.617122517250338
all_tasks,7,15,2.4088462678397575,0.37429812235560844,1.5859287386018086,0.44861941923940085,75.0,0.7936507936507937,0.07142857142857142,0.02696308666457925,0.6456369831394436
all_tasks,7,16,2.425285781302103,0.3717986534281475,1.6039535776386415,0.4495335449048174,74.8,0.1428571428571429,0.01818181818181818,0.02696308666457925,0.6584312652783343
all_tasks,7,17,2.3976952777645453,0.37519631722593694,1.5741316758520234,0.44836728359625594,74.8,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.6672846498274629
all_tasks,7,18,2.4004277000582315,0.3680762286350979,1.5837059205140525,0.4486455532108865,75.0,0.8412698412698413,0.09090909090909091,0.02696308666457925,0.6583008189124563
all_tasks,7,19,2.4039105206001095,0.3683457298249733,1.5862624276944293,0.44930234817954584,74.9,0.5079365079365079,0.03125,0.02696308666457925,0.6754392795930306
all_tasks,7,20,2.4188297550852704,0.3694632808125116,1.5998190263422525,0.4495474698582316,74.7,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6705130818094588
all_tasks,7,21,2.428964281469826,0.3667892692534904,1.6116071706864892,0.4505678495255912,74.7,0.6984126984126984,0.05,0.02696308666457925,0.6477028624888114
all_tasks,7,22,2.388462498905213,0.36562703683124326,1.5744339276135453,0.44840153227976665,74.7,0.8571428571428572,0.1,0.02696308666457925,0.6774563584574738
all_tasks,7,23,2.4057568321383096,0.3661574773429855,1.5901630612892834,0.4494363137376987,74.8,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.6863244852580028
all_tasks,7,24,2.4829441279899784,0.3711370734906778,1.6636585704679412,0.44814848027578214,74.8,0.4126984126984127,0.02631578947368421,0.02696308666457925,0.6663631726478484
all_tasks,7,25,2.4313307196144165,0.3638985211529383,1.6196208717377205,0.4478113186068651,74.6,0.5555555555555556,0.034482758620689655,0.016646765470253566,0.6932653669122699
all_tasks,7,26,2.410784583750779,0.36415862734240245,1.5978299825172113,0.4487959791005142,74.7,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6629857331768388
all_tasks,7,27,2.3916181413138786,0.3614380408108719,1.5822490870468016,0.4479310095794802,74.7,0.5396825396825398,0.03333333333333333,0.008447504791651905,0.6661733105113994
all_tasks,7,28,2.427632091491203,0.3646992569774147,1.6143438767611495,0.4485889605390347,74.8,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.6736454693769568
all_tasks,7,29,2.3811999917999516,0.36000257718369244,1.5726824756560287,0.4485149417466264,74.9,0.5396825396825398,0.03333333333333333,0.02696308666457925,0.6716807482479933
all_tasks,7,30,2.380468385975535,0.35809731980164844,1.5758527711154968,0.44651829639101415,74.8,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6884879643743936
all_tasks,7,31,2.401310914900245,0.3590785118380213,1.5948236773653728,0.44740872678717947,74.9,0.6190476190476191,0.04,0.02696308666457925,0.6806502323012296
all_tasks,7,32,2.379113057764565,0.35900738193252224,1.5739273957120694,0.44617827563751034,75.0,0.4444444444444444,0.027777777777777776,0.02696308666457925,0.6881520805724909
all_tasks,7,33,2.3722545809862092,0.3641567038811319,1.5616439144785812,0.44645396044583824,75.1,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.699726868237397
all_tasks,7,34,2.3852816054491495,0.3589474166311869,1.5777385186373702,0.4485956803569949,75.0,0.3650793650793651,0.024390243902439025,0.016646765470253566,0.6530941068433325
all_tasks,7,35,2.3968808980492073,0.35898852154491395,1.5916595497751624,0.4462328138874798,75.1,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6819941473895437
all_tasks,7,36,2.3827086832465194,0.3568932290484266,1.5782219171524048,0.4475935275961713,75.3,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6675882809941897
all_tasks,7,37,2.3610381983160003,0.3557975426679704,1.5597277685878723,0.44551288887737245,75.1,0.6190476190476191,0.04,0.02696308666457925,0.6563150947339969
all_tasks,7,38,2.4897079855445923,0.3564553054852214,1.6862601274397315,0.44699255601177373,75.1,0.5555555555555556,0.034482758620689655,0.02696308666457925,0.689565065656394
all_tasks,7,39,2.3977175078740935,0.3595739881682202,1.591077734784382,0.44706578928280655,74.9,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6598740438112681
all_tasks,7,40,2.400412288138537,0.355467963267148,1.5992905696233113,0.4456537545211916,74.8,0.5396825396825398,0.03333333333333333,0.02696308666457925,0.6851021657620757
all_tasks,7,41,2.3796997632437606,0.35507688822785044,1.5788343863758614,0.4457884869439815,74.7,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6882514670259324
all_tasks,7,42,2.455258729981213,0.35279762187624364,1.655260331262418,0.44720077975009515,74.9,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6789350711767017
all_tasks,7,43,2.3778784003684192,0.35906094773028924,1.5728744665781658,0.4459429812140581,74.9,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.6773443458955586
all_tasks,7,44,2.3800230413917602,0.35387451231964234,1.581484906072539,0.44466361912285407,74.9,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6663542727106433
all_tasks,7,45,2.355216995487368,0.356426400140049,1.5540700831064365,0.44472050957563447,75.1,0.5079365079365079,0.03125,0.02696308666457925,0.6677696499085887
