round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno
3,42,10.0,uniform,0.5725725725725725,0.5434256971690419,0.44444444444444436,0.545567678490752,0.5066010117001776,1.0351646542549133,0.6937157958745956,0.6931435465812683,0.6921253651380539,1.1,0.9940240383148193,0.9940184354782104,0.9940219521522522
4,42,10.0,uniform,0.5125125125125125,0.45150401306657734,0.40476190476190477,0.5402679385831106,0.5141573115054691,1.0331579744815826,0.6938622444868088,0.692913368344307,0.6917839199304581,1.0,0.9920446276664734,0.9920356273651123,0.9920423030853271
5,42,10.0,uniform,0.46846846846846846,0.4348254015775467,0.40575396825396826,0.5269789843679094,0.512142771646865,1.031141996383667,0.6940728425979614,0.6924779415130615,0.6915281265974045,1.0,0.9900733828544617,0.9900615215301514,0.9900708794593811
1,123,10.0,uniform,0.5245098039215687,0.5665864028947211,0.4588744588744588,0.32062109085090973,0.49608697646665456,1.043013870716095,0.6955669075250626,0.6972492933273315,0.6945789605379105,1.1,0.9980024695396423,0.998001217842102,0.998002290725708
2,123,10.0,uniform,0.615686274509804,0.6389284941143584,0.5238095238095237,0.35826855626070075,0.4902602293870635,1.0375545918941498,0.6938193887472153,0.6930548697710037,0.6932623982429504,1.0,0.9960083961486816,0.996006965637207,0.9960092306137085
3,123,10.0,uniform,0.6529411764705882,0.6299191079760682,0.564935064935065,0.4065806655679026,0.4794631102107679,1.0356365144252777,0.6931605637073517,0.6940069943666458,0.6927500665187836,1.0,0.9940202832221985,0.9940186738967896,0.9940220713615417
4,123,10.0,uniform,0.646078431372549,0.6395142459734164,0.5800865800865802,0.3845387564561244,0.4840994234917866,1.0334098935127258,0.6931021362543106,0.6935861855745316,0.6923640221357346,1.0,0.9920393824577332,0.9920380115509033,0.9920420050621033
5,123,10.0,uniform,0.6519607843137255,0.6476774855482099,0.6038961038961039,0.39973972062892515,0.4818603305153703,1.031283676624298,0.6931047886610031,0.6930969655513763,0.6921510398387909,1.2,0.9900668859481812,0.9900660514831543,0.9900702238082886
1,7,10.0,uniform,0.5610948191593353,0.6054160198480337,0.35392156862745106,0.4644234208624126,0.5010223646327104,1.0465895235538483,0.6975131332874298,0.7029476165771484,0.6940764635801315,1.0,0.9980043768882751,0.9980039000511169,0.9980021119117737
2,7,10.0,uniform,0.576735092864125,0.5427224781472596,0.3686274509803922,0.4035203280268749,0.5068685144665694,1.0318324267864227,0.6899276524782181,0.6852719187736511,0.6935621052980423,1.1,0.9960035681724548,0.9960079789161682,0.9960094690322876
