split_config,dim_A,dim_B,dim_C,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
default,7,4,3,123,10,2.4233595956631793,0.3835198575161337,1.5889473601085384,0.45089238058260783,75.6,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.6280242405950088
default,7,4,3,7,1,2.9709877618929235,0.41095929950233395,2.077752097835386,0.4822763643129085,75.6,0.4444444444444444,0.027777777777777776,0.0,0.5296313943858084
default,7,4,3,7,2,2.906879671220857,0.3967675848947308,2.052450404903753,0.4576616701556415,75.4,0.31746031746031744,0.022727272727272728,0.014517265680056402,0.5779889516567085
default,7,4,3,7,3,2.8282512591137148,0.3922626523952174,1.9789412389925825,0.4570473774177272,75.3,0.3650793650793651,0.024390243902439025,0.010647705967667731,0.5880458174499567
default,7,4,3,7,4,2.9157158843870086,0.3920026313725526,2.0686367692016976,0.4550764858722687,75.5,0.2857142857142857,0.021739130434782608,0.008447504791651905,0.6406932797316598
default,7,4,3,7,5,2.8570049448711115,0.38619357565554174,2.017020302090218,0.45379107827093546,75.6,0.6031746031746033,0.038461538461538464,0.008447504791651905,0.6720140359380512
default,7,4,3,7,6,2.871518460715689,0.3870068409336292,2.0315647939356363,0.4529468206370749,75.6,0.23809523809523814,0.02040816326530612,0.027636026244283962,0.675155605036348
default,7,4,3,7,7,2.639287789662679,0.38383046943482346,1.801243731646034,0.45421358749149293,75.5,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.6562214778306504
default,7,4,3,7,8,2.54522463558166,0.38265519013734367,1.7111278559134258,0.45144160418975643,75.5,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6553461316124993
default,7,4,3,7,9,2.4976084620002807,0.38233920943930866,1.6624789296126947,0.45279033058057955,75.7,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6410027099698434
default,7,4,3,7,10,2.481033075146559,0.3795124018579964,1.6496665177306509,0.4518541555579116,75.6,0.5396825396825398,0.03333333333333333,0.02696308666457925,0.65248732222427
balanced,5,4,3,42,1,2.9848608951258466,0.4119726378258651,2.0847870188999953,0.4881012483340938,75.6,0.6031746031746033,0.038461538461538464,0.0,0.4614463494290515
balanced,5,4,3,42,2,2.8092142333829306,0.40515369734143825,1.9452497891294278,0.4588107350395947,75.3,0.2857142857142857,0.021739130434782608,0.0,0.57070805362977
balanced,5,4,3,42,3,2.8771111383670713,0.4010412793576233,2.0181933098692233,0.4578765565302314,75.4,0.4126984126984127,0.02631578947368421,0.02696308666457925,0.5658972596775138
balanced,5,4,3,42,4,2.658437383853323,0.39938148298883824,1.8016859196065886,0.45736999652250027,75.5,0.33333333333333337,0.023255813953488372,0.02696308666457925,0.5827825495341121
balanced,5,4,3,42,5,2.610725724600195,0.398993746536534,1.753987830828845,0.45774414990006423,75.7,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.604344443916695
balanced,5,4,3,42,6,2.61186580347821,0.39848307974454833,1.756441642598408,0.4569410730183609,75.5,0.5555555555555556,0.034482758620689655,0.02696308666457925,0.6200002105111543
balanced,5,4,3,42,7,2.6166625042271807,0.39775017751910824,1.760926123557052,0.45798620315102057,75.5,0.4126984126984127,0.02631578947368421,0.02696308666457925,0.6032016004212287
